"trust_1","trust_0","spatial_distance","target","followerid","social_distance","spatial_distance-2","trust","s_res","t_res","tage","tlon","tlat","fage","flon","flat"
"1","0.0714285714285714",52,"2923230219","27872047","177412041",52,"0.535714285714286","4","5","177412041","28.18783","-25.74486","357404070","-75.16379","39.95233"
"1","0.857142857142857",8,"2923230219","2148834239","177412041",8,"0.928571428571429","4","4","177412041","28.18783","-25.74486","213439358","18.42322","-33.92584"
"0.682938481940251","0.833333333333333",12,"170963694","1790327330","217311566",12,"0.758135907636792","4","6","315954716","-118.24368","34.05223","217311566","-95.36327","29.76328"
"0.344860191440735","0.166666666666667",60,"170963694","817650183102152705","112129746",60,"0.255763429053701","4","5","315954716","-118.24368","34.05223","112129746","36.81667","-1.28333"
"1","0.777777777777778",16,"170963694","72882318","315954716",16,"0.888888888888889","4","4","315954716","-118.24368","34.05223","343399968","-81.44975","42.76679"
"0.331409793804542","0.946428571428571",3,"2923230219","1010065818108006400","66257800",3,"0.638919182616557","4","4","177412041","28.18783","-25.74486","66257800","28.04363","-26.20227"
"1","0.946428571428571",3,"2923230219","1432672308","177412041",3,"0.973214285714286","4","4","177412041","28.18783","-25.74486","227211956","28.04363","-26.20227"
"0.0979422799676592","1",0,"2923230219","1172864913204752386","27443435",0,"0.54897113998383","4","4","177412041","28.18783","-25.74486","27443435","28.18783","-25.74486"
"1","0.777777777777778",16,"170963694","57679580","315954716",16,"0.888888888888889","4","4","315954716","-118.24368","34.05223","348064812","-75.69812","45.41117"
"1","0.833333333333333",12,"170963694","17258279","315954716",12,"0.916666666666667","4","6","315954716","-118.24368","34.05223","369733363","-94.02073","29.95077"
"1","0.333333333333333",48,"170963694","21845768","315954716",48,"0.666666666666667","4","8","315954716","-118.24368","34.05223","360360281","152.25","-32.51667"
"1","0.5",36,"170963694","82587778","315954716",36,"0.75","4","3","315954716","-118.24368","34.05223","340308291","-3.70256","40.4165"
"0.965453473988911","0.722222222222222",20,"170963694","219692222","305206713",20,"0.843837848105567","4","2","315954716","-118.24368","34.05223","305206713","-71.53757","43.20814"
"1","0.0769230769230769",60,"3180254803","15641893","165710352",60,"0.538461538461538","5","5","165710352","67.0104","24.8608","378607283","-77.03637","38.89511"
"1","0.666666666666667",24,"170963694","167147054","315954716",24,"0.833333333333333","4","1","315954716","-118.24368","34.05223","316681225","-73.25","4"
"1","0.444444444444444",40,"170963694","62086356","315954716",40,"0.722222222222222","4","5","315954716","-118.24368","34.05223","346760775","2.15899","41.38879"
"1","0.625",6,"821439445","262749118","248540633",6,"0.8125","1","2","248540633","-1.61125","53.13543","296301391","-83.00018","40.25034"
"0.894072267973394","0.833333333333333",12,"158120995","336132528","285151423",12,"0.863702800653364","4","2","318926197","-68.96667","12.16667","285151423","-78.87836","35.05266"
"0.528123713736496","0.5",36,"170963694","3096622816","169146098",36,"0.514061856868248","4","5","315954716","-118.24368","34.05223","169146098","6.85873","49.25162"
"0.568302009760304","0.5",36,"170963694","2844091569","181646239",36,"0.534151004880152","4","6","315954716","-118.24368","34.05223","181646239","-2.15761","53.40979"
"0.526603004885436","0.777777777777778",16,"170963694","3111946665","168672980",16,"0.652190391331607","4","5","315954716","-118.24368","34.05223","168672980","-80.19366","25.77427"
"0.886392141666508","0.222222222222222",56,"170963694","368837091","280609408",56,"0.554307181944365","4","7","315954716","-118.24368","34.05223","280609408","98.66667","3.58333"
"1","0.444444444444444",40,"170963694","128966917","315954716",40,"0.722222222222222","4","4","315954716","-118.24368","34.05223","325674996","-0.87734","41.65606"
"1","0.833333333333333",12,"158120995","15964377","318926197",12,"0.916666666666667","4","5","318926197","-68.96667","12.16667","376366273","-80.13005","25.79065"
"0.848833833130163","0.666666666666667",24,"170963694","468416006","268924389",24,"0.757750249898415","4","5","315954716","-118.24368","34.05223","268924389","-75.56359","6.25184"
"0.983660674164981","0.722222222222222",20,"170963694","193162382","310871278",20,"0.852941448193602","4","2","315954716","-118.24368","34.05223","310871278","-84","10"
"0.534910841011509","0.5",36,"170963694","3054392542","171257687",36,"0.517455420505755","4","4","315954716","-118.24368","34.05223","171257687","-6.83333","52.66667"
